2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	4	2	3	5	4	2	3	5	4	0	0	5	4	2	3	0	0	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	4	2	3	5	4	2	3	0	0	2	3	5	4	0	0	5	4	0	0	5	4	2	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	2	3	5	4	2	3	5	4	0	0	5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	2	3	0	0	2	3	5	4	2	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	5	4	2	11	5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	2	3	8	2	11	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	2	3	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	8	2	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	5	4	0	0	0	0	8	2	5	4	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	2	3	5	4	0	0	0	0	2	3	5	4	2	3	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	4	2	3	5	4	2	3	5	4	0	0	5	4	0	0	0	0	2	3	5	4	0	0	0	0	2	3	5	4	2	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
